consumer_dso	provider_dso	match_symbol	demangled
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc8internal22EnsureGCInfoIndexTrait17EnsureGCInfoIndexERNSt4__Cr6atomicItEEPFvPNS_7VisitorEPKvEPFvPvEPFNS0_14HeapObjectNameES9_NS0_30HeapObjectNameForUnnamedObjectEE	cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::__Cr::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*), void (*)(void*), cppgc::internal::HeapObjectName (*)(void const*, cppgc::internal::HeapObjectNameForUnnamedObject))
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v84JSON5ParseENS_5LocalINS_7ContextEEENS1_INS_6StringEEENSt4__Cr8optionalINS_12ScriptOriginEEE	v8::JSON::Parse(v8::Local<v8::Context>, v8::Local<v8::String>, std::__Cr::optional<v8::ScriptOrigin>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v87CppHeap36CollectCustomSpaceStatisticsAtLastGCENSt4__Cr6vectorIN5cppgc16CustomSpaceIndexENS1_9allocatorIS4_EEEENS1_10unique_ptrINS_29CustomSpaceStatisticsReceiverENS1_14default_deleteIS9_EEEE	v8::CppHeap::CollectCustomSpaceStatisticsAtLastGC(std::__Cr::vector<cppgc::CustomSpaceIndex, std::__Cr::allocator<cppgc::CustomSpaceIndex> >, std::__Cr::unique_ptr<v8::CustomSpaceStatisticsReceiver, std::__Cr::default_delete<v8::CustomSpaceStatisticsReceiver> >)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc8internal22EnsureGCInfoIndexTrait17EnsureGCInfoIndexERNSt4__Cr6atomicItEEPFvPNS_7VisitorEPKvEPFvPvE	cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::__Cr::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*), void (*)(void*))
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc8internal22EnsureGCInfoIndexTrait17EnsureGCInfoIndexERNSt4__Cr6atomicItEEPFvPNS_7VisitorEPKvE	cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::__Cr::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*))
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	_ZN4node22NodeRuntimeEnvironment11SetDelegateENSt4__Cr10unique_ptrINS_15RuntimeDelegateENS1_14default_deleteIS3_EEEE	node::NodeRuntimeEnvironment::SetDelegate(std::__Cr::unique_ptr<node::RuntimeDelegate, std::__Cr::default_delete<node::RuntimeDelegate> >)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	_ZN4node24InitializeOncePerProcessERKNSt4__Cr6vectorINS0_12basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEENS5_IS7_EEEENS_26ProcessInitializationFlags5FlagsE	node::InitializeOncePerProcess(std::__Cr::vector<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >, std::__Cr::allocator<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > > > const&, node::ProcessInitializationFlags::Flags)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	_ZN4node15LoadEnvironmentEPNS_11EnvironmentENSt4__Cr8functionIFN2v810MaybeLocalINS4_5ValueEEERKNS_26StartExecutionCallbackInfoEEEENS3_IFvS1_NS4_5LocalIS6_EESE_EEE	node::LoadEnvironment(node::Environment*, std::__Cr::function<v8::MaybeLocal<v8::Value> (node::StartExecutionCallbackInfo const&)>, std::__Cr::function<void (node::Environment*, v8::Local<v8::Value>, v8::Local<v8::Value>)>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v817RegisterExtensionENSt4__Cr10unique_ptrINS_9ExtensionENS0_14default_deleteIS2_EEEE	v8::RegisterExtension(std::__Cr::unique_ptr<v8::Extension, std::__Cr::default_delete<v8::Extension> >)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	_ZN4node25ProcessEmitWarningGenericEPNS_11EnvironmentENSt4__Cr17basic_string_viewIcNS2_11char_traitsIcEEEES6_S6_	node::ProcessEmitWarningGeneric(node::Environment*, std::__Cr::basic_string_view<char, std::__Cr::char_traits<char> >, std::__Cr::basic_string_view<char, std::__Cr::char_traits<char> >, std::__Cr::basic_string_view<char, std::__Cr::char_traits<char> >)
