consumer_dso	provider_dso	match_symbol	demangled
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	_ZN4node17CreateEnvironmentEPNS_11IsolateDataEN2v85LocalINS2_7ContextEEERKNSt4__Cr6vectorINS6_12basic_stringIcNS6_11char_traitsIcEENS6_9allocatorIcEEEENSB_ISD_EEEESH_NS_16EnvironmentFlags5FlagsENS_8ThreadIdENS6_10unique_ptrINS_21InspectorParentHandleENS6_14default_deleteISM_EEEE	node::CreateEnvironment(node::IsolateData*, v8::Local<v8::Context>, std::__Cr::vector<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >, std::__Cr::allocator<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > > > const&, std::__Cr::vector<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >, std::__Cr::allocator<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > > > const&, node::EnvironmentFlags::Flags, node::ThreadId, std::__Cr::unique_ptr<node::InspectorParentHandle, std::__Cr::default_delete<node::InspectorParentHandle> >)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	_ZN4node13GetNodeReportEPN2v87IsolateEPKcS4_NS0_5LocalINS0_5ValueEEERNSt4__Cr13basic_ostreamIcNS8_11char_traitsIcEEEE	node::GetNodeReport(v8::Isolate*, char const*, char const*, v8::Local<v8::Value>, std::__Cr::basic_ostream<char, std::__Cr::char_traits<char> >&)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	_ZN4node21SetProcessExitHandlerEPNS_11EnvironmentEONSt4__Cr8functionIFvS1_iEEE	node::SetProcessExitHandler(node::Environment*, std::__Cr::function<void (node::Environment*, int)>&&)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v87Message22PrintCurrentStackTraceEPNS_7IsolateERNSt4__Cr13basic_ostreamIcNS3_11char_traitsIcEEEEPFbS2_NS_5LocalINS_6StringEEEE	v8::Message::PrintCurrentStackTrace(v8::Isolate*, std::__Cr::basic_ostream<char, std::__Cr::char_traits<char> >&, bool (*)(v8::Isolate*, v8::Local<v8::String>))
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v87Isolate13MeasureMemoryENSt4__Cr10unique_ptrINS_21MeasureMemoryDelegateENS1_14default_deleteIS3_EEEENS_22MeasureMemoryExecutionE	v8::Isolate::MeasureMemory(std::__Cr::unique_ptr<v8::MeasureMemoryDelegate, std::__Cr::default_delete<v8::MeasureMemoryDelegate> >, v8::MeasureMemoryExecution)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v818DictionaryTemplate3NewEPNS_7IsolateENS_10MemorySpanIKNSt4__Cr17basic_string_viewIcNS4_11char_traitsIcEEEEEE	v8::DictionaryTemplate::New(v8::Isolate*, v8::MemorySpan<std::__Cr::basic_string_view<char, std::__Cr::char_traits<char> > const>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v814ScriptCompiler23StartConsumingCodeCacheEPNS_7IsolateENSt4__Cr10unique_ptrINS0_10CachedDataENS3_14default_deleteIS5_EEEE	v8::ScriptCompiler::StartConsumingCodeCache(v8::Isolate*, std::__Cr::unique_ptr<v8::ScriptCompiler::CachedData, std::__Cr::default_delete<v8::ScriptCompiler::CachedData> >)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v814ScriptCompiler35StartConsumingCodeCacheOnBackgroundEPNS_7IsolateENSt4__Cr10unique_ptrINS0_10CachedDataENS3_14default_deleteIS5_EEEE	v8::ScriptCompiler::StartConsumingCodeCacheOnBackground(v8::Isolate*, std::__Cr::unique_ptr<v8::ScriptCompiler::CachedData, std::__Cr::default_delete<v8::ScriptCompiler::CachedData> >)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v814ScriptCompiler14StreamedSourceC1ENSt4__Cr10unique_ptrINS0_20ExternalSourceStreamENS2_14default_deleteIS4_EEEENS1_8EncodingE	v8::ScriptCompiler::StreamedSource::StreamedSource(std::__Cr::unique_ptr<v8::ScriptCompiler::ExternalSourceStream, std::__Cr::default_delete<v8::ScriptCompiler::ExternalSourceStream> >, v8::ScriptCompiler::StreamedSource::Encoding)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v817SharedArrayBuffer3NewEPNS_7IsolateENSt4__Cr10shared_ptrINS_12BackingStoreEEE	v8::SharedArrayBuffer::New(v8::Isolate*, std::__Cr::shared_ptr<v8::BackingStore>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v87Isolate18SetMetricsRecorderERKNSt4__Cr10shared_ptrINS_7metrics8RecorderEEE	v8::Isolate::SetMetricsRecorder(std::__Cr::shared_ptr<v8::metrics::Recorder> const&)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v87Isolate22SetAddCrashKeyCallbackEPFvNS_10CrashKeyIdERKNSt4__Cr12basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEE	v8::Isolate::SetAddCrashKeyCallback(void (*)(v8::CrashKeyId, std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > const&))
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v87Isolate26SetCrashKeyStringCallbacksENSt4__Cr8functionIFPvPKcNS_12CrashKeySizeEEEENS2_IFvS3_NS1_17basic_string_viewIcNS1_11char_traitsIcEEEEEEE	v8::Isolate::SetCrashKeyStringCallbacks(std::__Cr::function<void* (char const*, v8::CrashKeySize)>, std::__Cr::function<void (void*, std::__Cr::basic_string_view<char, std::__Cr::char_traits<char> >)>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v813WasmStreaming39SetMoreFunctionsCanBeSerializedCallbackENSt4__Cr8functionIFvNS_18CompiledWasmModuleEEEE	v8::WasmStreaming::SetMoreFunctionsCanBeSerializedCallback(std::__Cr::function<void (v8::CompiledWasmModule)>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v813WasmStreaming6FinishERKNSt4__Cr8functionIFvRNS0_22ModuleCachingInterfaceEEEE	v8::WasmStreaming::Finish(std::__Cr::function<void (v8::WasmStreaming::ModuleCachingInterface&)> const&)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v85Array3NewENS_5LocalINS_7ContextEEEjNSt4__Cr8functionIFNS_10MaybeLocalINS_5ValueEEEvEEE	v8::Array::New(v8::Local<v8::Context>, unsigned int, std::__Cr::function<v8::MaybeLocal<v8::Value> ()>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v811CpuProfiler13CollectSampleEPNS_7IsolateENSt4__Cr8optionalIyEE	v8::CpuProfiler::CollectSample(v8::Isolate*, std::__Cr::optional<unsigned long long>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN12v8_inspector14V8StackTraceIdC1EjNSt4__Cr4pairIxxEEb	v8_inspector::V8StackTraceId::V8StackTraceId(unsigned int, std::__Cr::pair<long long, long long>, bool)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v811CpuProfiler14StartProfilingENS_5LocalINS_6StringEEENS_19CpuProfilingOptionsENSt4__Cr10unique_ptrINS_24DiscardedSamplesDelegateENS5_14default_deleteIS7_EEEE	v8::CpuProfiler::StartProfiling(v8::Local<v8::String>, v8::CpuProfilingOptions, std::__Cr::unique_ptr<v8::DiscardedSamplesDelegate, std::__Cr::default_delete<v8::DiscardedSamplesDelegate> >)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v87Isolate19RetryCustomAllocateENSt4__Cr8functionIFbvEEE	v8::Isolate::RetryCustomAllocate(std::__Cr::function<bool ()>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v811ArrayBuffer3NewEPNS_7IsolateENSt4__Cr10shared_ptrINS_12BackingStoreEEE	v8::ArrayBuffer::New(v8::Isolate*, std::__Cr::shared_ptr<v8::BackingStore>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libchromium-impl.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v87Isolate38ValidateAndCanonicalizeUnicodeLocaleIdENSt4__Cr17basic_string_viewIcNS1_11char_traitsIcEEEE	v8::Isolate::ValidateAndCanonicalizeUnicodeLocaleId(std::__Cr::basic_string_view<char, std::__Cr::char_traits<char> >)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v818DictionaryTemplate3NewEPNS_7IsolateENS_10MemorySpanIKNSt4__Cr17basic_string_viewIcNS4_11char_traitsIcEEEEEE	v8::DictionaryTemplate::New(v8::Isolate*, v8::MemorySpan<std::__Cr::basic_string_view<char, std::__Cr::char_traits<char> > const>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v811ArrayBuffer3NewEPNS_7IsolateENSt4__Cr10shared_ptrINS_12BackingStoreEEE	v8::ArrayBuffer::New(v8::Isolate*, std::__Cr::shared_ptr<v8::BackingStore>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v811CpuProfiler5StartENS_19CpuProfilingOptionsENSt4__Cr10unique_ptrINS_24DiscardedSamplesDelegateENS2_14default_deleteIS4_EEEE	v8::CpuProfiler::Start(v8::CpuProfilingOptions, std::__Cr::unique_ptr<v8::DiscardedSamplesDelegate, std::__Cr::default_delete<v8::DiscardedSamplesDelegate> >)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v812HeapProfiler12QueryObjectsENS_5LocalINS_7ContextEEEPNS_20QueryObjectPredicateEPNSt4__Cr6vectorINS_6GlobalINS_6ObjectEEENS6_9allocatorISA_EEEE	v8::HeapProfiler::QueryObjects(v8::Local<v8::Context>, v8::QueryObjectPredicate*, std::__Cr::vector<v8::Global<v8::Object>, std::__Cr::allocator<v8::Global<v8::Object> > >*)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v87Isolate13MeasureMemoryENSt4__Cr10unique_ptrINS_21MeasureMemoryDelegateENS1_14default_deleteIS3_EEEENS_22MeasureMemoryExecutionE	v8::Isolate::MeasureMemory(std::__Cr::unique_ptr<v8::MeasureMemoryDelegate, std::__Cr::default_delete<v8::MeasureMemoryDelegate> >, v8::MeasureMemoryExecution)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc8internal22EnsureGCInfoIndexTrait17EnsureGCInfoIndexERNSt4__Cr6atomicItEEPFvPNS_7VisitorEPKvEPFvPvEPFNS0_14HeapObjectNameES9_NS0_30HeapObjectNameForUnnamedObjectEE	cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::__Cr::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*), void (*)(void*), cppgc::internal::HeapObjectName (*)(void const*, cppgc::internal::HeapObjectNameForUnnamedObject))
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v817SharedArrayBuffer3NewEPNS_7IsolateENSt4__Cr10shared_ptrINS_12BackingStoreEEE	v8::SharedArrayBuffer::New(v8::Isolate*, std::__Cr::shared_ptr<v8::BackingStore>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v85Array3NewENS_5LocalINS_7ContextEEEjNSt4__Cr8functionIFNS_10MaybeLocalINS_5ValueEEEvEEE	v8::Array::New(v8::Local<v8::Context>, unsigned int, std::__Cr::function<v8::MaybeLocal<v8::Value> ()>)
chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libnode.so	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN2v813WasmStreaming6FinishERKNSt4__Cr8functionIFvRNS0_22ModuleCachingInterfaceEEEE	v8::WasmStreaming::Finish(std::__Cr::function<void (v8::WasmStreaming::ModuleCachingInterface&)> const&)
