construction vtable for std::basic_ofstream<char, std::char_traits<char> >-in-v8::internal::compiler::TurboJsonFile	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZTCN2v88internal8compiler13TurboJsonFileE0_St14basic_ofstreamIcSt11char_traitsIcEE	construction vtable for std::basic_ofstream<char, std::char_traits<char> >-in-v8::internal::compiler::TurboJsonFile
construction vtable for std::basic_ostream<char, std::char_traits<char> >-in-v8::internal::OFStream	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZTCN2v88internal8OFStreamE0_So	construction vtable for std::basic_ostream<char, std::char_traits<char> >-in-v8::internal::OFStream
construction vtable for std::basic_ostream<char, std::char_traits<char> >-in-v8::internal::compiler::TurboJsonFile	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZTCN2v88internal8compiler13TurboJsonFileE0_So	construction vtable for std::basic_ostream<char, std::char_traits<char> >-in-v8::internal::compiler::TurboJsonFile
cppgc::Heap::Create(std::shared_ptr<cppgc::Platform>, cppgc::Heap::HeapOptions)	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc4Heap6CreateESt10shared_ptrINS_8PlatformEENS0_11HeapOptionsE	cppgc::Heap::Create(std::shared_ptr<cppgc::Platform>, cppgc::Heap::HeapOptions)
cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*))	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc8internal22EnsureGCInfoIndexTrait17EnsureGCInfoIndexERSt6atomicItEPFvPNS_7VisitorEPKvE	cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*))
cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*), cppgc::internal::HeapObjectName (*)(void const*, cppgc::internal::HeapObjectNameForUnnamedObject))	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc8internal22EnsureGCInfoIndexTrait17EnsureGCInfoIndexERSt6atomicItEPFvPNS_7VisitorEPKvEPFNS0_14HeapObjectNameES8_NS0_30HeapObjectNameForUnnamedObjectEE	cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*), cppgc::internal::HeapObjectName (*)(void const*, cppgc::internal::HeapObjectNameForUnnamedObject))
cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*), void (*)(void*))	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc8internal22EnsureGCInfoIndexTrait17EnsureGCInfoIndexERSt6atomicItEPFvPNS_7VisitorEPKvEPFvPvE	cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*), void (*)(void*))
cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*), void (*)(void*), cppgc::internal::HeapObjectName (*)(void const*, cppgc::internal::HeapObjectNameForUnnamedObject))	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc8internal22EnsureGCInfoIndexTrait17EnsureGCInfoIndexERSt6atomicItEPFvPNS_7VisitorEPKvEPFvPvEPFNS0_14HeapObjectNameES8_NS0_30HeapObjectNameForUnnamedObjectEE	cppgc::internal::EnsureGCInfoIndexTrait::EnsureGCInfoIndex(std::atomic<unsigned short>&, void (*)(cppgc::Visitor*, void const*), void (*)(void*), cppgc::internal::HeapObjectName (*)(void const*, cppgc::internal::HeapObjectNameForUnnamedObject))
cppgc::internal::Fatal(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, v8::SourceLocation)	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc8internal5FatalERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEN2v814SourceLocationE	cppgc::internal::Fatal(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, v8::SourceLocation)
cppgc::internal::FatalOutOfMemoryHandler::SetCustomHandler(void (*)(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, v8::SourceLocation, cppgc::internal::HeapBase*))	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZN5cppgc8internal23FatalOutOfMemoryHandler16SetCustomHandlerEPFvRKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEN2v814SourceLocationEPNS0_8HeapBaseEE	cppgc::internal::FatalOutOfMemoryHandler::SetCustomHandler(void (*)(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, v8::SourceLocation, cppgc::internal::HeapBase*))
cppgc::internal::FatalOutOfMemoryHandler::operator()(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, v8::SourceLocation) const	chromium-efl-1.1.144-1.armv7l/usr/share/chromium-efl/lib/libv8.so	_ZNK5cppgc8internal23FatalOutOfMemoryHandlerclERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEN2v814SourceLocationE	cppgc::internal::FatalOutOfMemoryHandler::operator()(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, v8::SourceLocation) const
