libv8.so	_ZN2v87Message22PrintCurrentStackTraceEPNS_7IsolateERNSt4__Cr13basic_ostreamIcNS3_11char_traitsIcEEEEPFbS2_NS_5LocalINS_6StringEEEE
libv8.so	_ZN2v88internal10JSCollator19GetAvailableLocalesEv
libv8.so	_ZN2v88internal11JSSegmenter19GetAvailableLocalesEv
libv8.so	_ZN2v88internal11interpreter9Bytecodes8ToStringENS1_8BytecodeENS1_12OperandScaleEPKc
libv8.so	_ZN2v88internal12HeapProfiler20TakeSnapshotToStringENS_12HeapProfiler19HeapSnapshotOptionsE
libv8.so	_ZN2v88internal12JSListFormat19GetAvailableLocalesEv
libv8.so	_ZN2v88internal12LocalIsolate13DefaultLocaleEv
libv8.so	_ZN2v88internal13JSPluralRules19GetAvailableLocalesEv
libv8.so	_ZN2v88internal14JSDisplayNames19GetAvailableLocalesEv
libv8.so	_ZN2v88internal14JSNumberFormat19GetAvailableLocalesEv
libv8.so	_ZN2v88internal16JSDateTimeFormat19GetAvailableLocalesEv
libv8.so	_ZN2v88internal16JSDurationFormat19GetAvailableLocalesEv
libv8.so	_ZN2v88internal17JSV8BreakIterator19GetAvailableLocalesEv
libv8.so	_ZN2v88internal18StringOutputStream3strEv
libv8.so	_ZN2v88internal20JSRelativeTimeFormat19GetAvailableLocalesEv
libv8.so	_ZN2v88internal4Intl14CompareStringsEPNS0_7IsolateERKN6icu_778CollatorENS0_12DirectHandleINS0_6StringEEESA_NS1_21CompareStringsOptionsE
libv8.so	_ZN2v88internal4wasm15AsmFunctionType4NameEv
libv8.so	_ZN2v88internal4wasm25AsmOverloadedFunctionType4NameEv
libv8.so	_ZN2v88internal4wasm7AsmType4NameEv
libv8.so	_ZN2v88internal4wasm9WasmError11FormatErrorEPKcSt9__va_list
libv8.so	_ZN2v88internal6String11ToStdStringEv
libv8.so	_ZN2v88internal7Isolate13DefaultLocaleEv
libv8.so	_ZN2v88internal7Isolate19GetTurboCfgFileNameEPS1_
libv8.so	_ZN2v88internal8ReadFileEP8_IO_FILEPbb
libv8.so	_ZN2v88internal8ReadFileEPKcPbb
libv8.so	_ZN2v88internal8ToStringENS0_12InstanceTypeE
libv8.so	_ZN2v88internal8compiler13TurboJsonFileC1EPNS0_24OptimizedCompilationInfoEj
libv8.so	_ZN2v88internal8compiler13TurboJsonFileC2EPNS0_24OptimizedCompilationInfoEj
libv8.so	_ZN2v88internal8compiler8ToStringERKNS1_21BytecodeLivenessStateE
libv8.so	_ZN5cppgc8internal22EnsureGCInfoIndexTrait17EnsureGCInfoIndexERNSt4__Cr6atomicItEEPFvPNS_7VisitorEPKvE
libv8.so	_ZN5cppgc8internal22EnsureGCInfoIndexTrait17EnsureGCInfoIndexERNSt4__Cr6atomicItEEPFvPNS_7VisitorEPKvEPFvPvE
