libnode.so	_ZN4node21SetProcessExitHandlerEPNS_11EnvironmentEONSt4__Cr8functionIFvS1_NS_8ExitCodeEEEE	node::SetProcessExitHandler(node::Environment*, std::__Cr::function<void (node::Environment*, node::ExitCode)>&&)
libnode.so	_ZN4node21SetProcessExitHandlerEPNS_11EnvironmentEONSt4__Cr8functionIFvS1_iEEE	node::SetProcessExitHandler(node::Environment*, std::__Cr::function<void (node::Environment*, int)>&&)
libnode.so	_ZN4node22NodeRuntimeEnvironment11SetDelegateENSt4__Cr10unique_ptrINS_15RuntimeDelegateENS1_14default_deleteIS3_EEEE	node::NodeRuntimeEnvironment::SetDelegate(std::__Cr::unique_ptr<node::RuntimeDelegate, std::__Cr::default_delete<node::RuntimeDelegate> >)
libnode.so	_ZN4node24InitializeOncePerProcessERKNSt4__Cr6vectorINS0_12basic_stringIcNS0_11char_traitsIcEENS0_9allocatorIcEEEENS5_IS7_EEEENS_26ProcessInitializationFlags5FlagsE	node::InitializeOncePerProcess(std::__Cr::vector<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >, std::__Cr::allocator<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > > > const&, node::ProcessInitializationFlags::Flags)
libnode.so	_ZN4node25ProcessEmitWarningGenericEPNS_11EnvironmentENSt4__Cr17basic_string_viewIcNS2_11char_traitsIcEEEES6_S6_	node::ProcessEmitWarningGeneric(node::Environment*, std::__Cr::basic_string_view<char, std::__Cr::char_traits<char> >, std::__Cr::basic_string_view<char, std::__Cr::char_traits<char> >, std::__Cr::basic_string_view<char, std::__Cr::char_traits<char> >)
libnode.so	_ZN4node7tracing15NodeTraceWriter11WriteToFileEONSt4__Cr12basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEEi	node::tracing::NodeTraceWriter::WriteToFile(std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >&&, int)
libnode.so	_ZN4node7tracing15NodeTraceWriterC1ERKNSt4__Cr12basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEE	node::tracing::NodeTraceWriter::NodeTraceWriter(std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > const&)
libnode.so	_ZN4node7tracing15NodeTraceWriterC2ERKNSt4__Cr12basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEE	node::tracing::NodeTraceWriter::NodeTraceWriter(std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > const&)
libnode.so	_ZN4node7tracing17replace_substringEPNSt4__Cr12basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEERKS7_SA_	node::tracing::replace_substring(std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >*, std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > const&, std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > const&)
libnode.so	_ZN4node7tracing5Agent6EnableEiRKNSt4__Cr3setINS2_12basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEENS2_4lessIS9_EENS7_IS9_EEEE	node::tracing::Agent::Enable(int, std::__Cr::set<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >, std::__Cr::less<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > >, std::__Cr::allocator<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > > > const&)
libnode.so	_ZN4node7tracing5Agent7DisableEiRKNSt4__Cr3setINS2_12basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEENS2_4lessIS9_EENS7_IS9_EEEE	node::tracing::Agent::Disable(int, std::__Cr::set<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >, std::__Cr::less<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > >, std::__Cr::allocator<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > > > const&)
libnode.so	_ZN4node7tracing5Agent9AddClientERKNSt4__Cr3setINS2_12basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEENS2_4lessIS9_EENS7_IS9_EEEENS2_10unique_ptrINS0_16AsyncTraceWriterENS2_14default_deleteISH_EEEENS1_22UseDefaultCategoryModeE	node::tracing::Agent::AddClient(std::__Cr::set<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >, std::__Cr::less<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > >, std::__Cr::allocator<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > > > const&, std::__Cr::unique_ptr<node::tracing::AsyncTraceWriter, std::__Cr::default_delete<node::tracing::AsyncTraceWriter> >, node::tracing::Agent::UseDefaultCategoryMode)
libnode.so	_ZN4node8builtins13BuiltinLoader16RefreshCodeCacheERKNSt4__Cr6vectorINS0_13CodeCacheInfoENS2_9allocatorIS4_EEEE	node::builtins::BuiltinLoader::RefreshCodeCache(std::__Cr::vector<node::builtins::CodeCacheInfo, std::__Cr::allocator<node::builtins::CodeCacheInfo> > const&)
libnode.so	_ZN4node8builtins13BuiltinLoader34CompileAllBuiltinsAndCopyCodeCacheEN2v85LocalINS2_7ContextEEERKNSt4__Cr6vectorINS6_12basic_stringIcNS6_11char_traitsIcEENS6_9allocatorIcEEEENSB_ISD_EEEEPNS7_INS0_13CodeCacheInfoENSB_ISI_EEEE	node::builtins::BuiltinLoader::CompileAllBuiltinsAndCopyCodeCache(v8::Local<v8::Context>, std::__Cr::vector<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >, std::__Cr::allocator<std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> > > > const&, std::__Cr::vector<node::builtins::CodeCacheInfo, std::__Cr::allocator<node::builtins::CodeCacheInfo> >*)
libnode.so	_ZNK4node7tracing11TracedValue19AppendAsTraceFormatEPNSt4__Cr12basic_stringIcNS2_11char_traitsIcEENS2_9allocatorIcEEEE	node::tracing::TracedValue::AppendAsTraceFormat(std::__Cr::basic_string<char, std::__Cr::char_traits<char>, std::__Cr::allocator<char> >*) const
libsplash_screen_plugin.so	_ZNSt4__Cr22__libcpp_verbose_abortEPKcz	std::__Cr::__libcpp_verbose_abort(char const*, ...)
libv8.so	_ZN12v8_inspector12V8DebuggerIdC1ENSt4__Cr4pairIxxEE	v8_inspector::V8DebuggerId::V8DebuggerId(std::__Cr::pair<long long, long long>)
libv8.so	_ZN12v8_inspector12V8DebuggerIdC2ENSt4__Cr4pairIxxEE	v8_inspector::V8DebuggerId::V8DebuggerId(std::__Cr::pair<long long, long long>)
libv8.so	_ZN12v8_inspector14V8StackTraceIdC1EjNSt4__Cr4pairIxxEE	v8_inspector::V8StackTraceId::V8StackTraceId(unsigned int, std::__Cr::pair<long long, long long>)
libv8.so	_ZN12v8_inspector14V8StackTraceIdC1EjNSt4__Cr4pairIxxEEb	v8_inspector::V8StackTraceId::V8StackTraceId(unsigned int, std::__Cr::pair<long long, long long>, bool)
libv8.so	_ZN12v8_inspector14V8StackTraceIdC2EjNSt4__Cr4pairIxxEE	v8_inspector::V8StackTraceId::V8StackTraceId(unsigned int, std::__Cr::pair<long long, long long>)
libv8.so	_ZN12v8_inspector14V8StackTraceIdC2EjNSt4__Cr4pairIxxEEb	v8_inspector::V8StackTraceId::V8StackTraceId(unsigned int, std::__Cr::pair<long long, long long>, bool)
libv8.so	_ZN2v811ArrayBuffer3NewEPNS_7IsolateENSt4__Cr10shared_ptrINS_12BackingStoreEEE	v8::ArrayBuffer::New(v8::Isolate*, std::__Cr::shared_ptr<v8::BackingStore>)
libv8.so	_ZN2v811CpuProfiler13CollectSampleEPNS_7IsolateENSt4__Cr8optionalIyEE	v8::CpuProfiler::CollectSample(v8::Isolate*, std::__Cr::optional<unsigned long long>)
